category,confidence,reason,description
Крыша,0.97,"Повреждение кровли после циклона, сорвало рубероид и шифер",После циклона сорвало рубероид на крыше   веранды и шифер на крыше
Отопление,0.97,Житель жалуется на отсутствие тепла в доме,когда будет тепло в нашем доме мы уже вообще замерзли
Ремонт,0.85,Просьба установить поручни на лестнице подъезда,мне хотелось бы чтобы нам поставили поручные на лестницу входа в подъезд
НЕЯСНО,0.95,Житель благодарит без конкретной технической проблемы,спасибо вашему жеку и низкий потом всем сотрудникам за вашу отличную работу
Отопление,0.55,стучит по всей квартире после включения отопления,"подключено все с скачиванием мобильного приложения озон сто восемь по всей квартире стучит и всем это уже вот сутки и ночь и вчера включили вот сколько в четыре часа включили вечером
Оператора Нету На Месте Я Объяснила Бы В Чем Дело То Надо Убрать Это Все Они Они Прям У Меня Задушили Узанов Задушили Я Умираю Головные Боли Давление Снизилось"
Отопление,0.72,Завоздушенность чаще всего относится к системе отопления,заявка на устранение воздушности
Уборка внутренняя,0.85,Мусор у входа в подъезд,"завален вход в подъезд мусором
пока нет"
Иное,0.82,Повреждение имущества техникой при уборке снега,четвертого апреля я отправлял фотографию скриншот о том что погрузчик при расчистке снега раздавил телегу
НЕЯСНО,0.95,"Жалоба на обслуживание, суть обращения неясна",девушка я только что вам звонила какие пятнадцать тысяч можно мне ответить пожалуйста
Иное,0.85,Житель хочет передать показания счётчиков,хочу передать показания счетчиков
Домофоны,0.55,не перебирает подъезд — вероятно домофон,не перебирает подъезд
НЕЯСНО,0.35,"Упомянут водяной мотор, но суть жалобы неясна",в середине квартиры поставлено внизу мотор этот водяной он врет как прямо железно гремит бо всей квартире будет невозможно посередине я директору если я буду звонить
ГВС,0.85,Упоминание горячей воды и показаний счётчика,мы хотим подать заявку на на показания на горячую воду
Уборка уличная,0.97,Жалоба на неубранный снег на территории,снег не убран на территории
Отопление,0.85,Житель спрашивает когда подключат отопление,"когда будет отупление подключено пример и стенка 
 
всё"
НЕЯСНО,0.95,"Житель просит перезвонить, суть обращения не указана",пусть оператор перезвонит
НЕЯСНО,0.95,"Житель ждёт ответа по заявке, суть неизвестна",а когда со мной свяжутся я оставляла заявку
Крыша,0.97,Течь кровли — проблема с крышей,течь кровли после зимы
НЕЯСНО,0.15,"Текст неразборчив, суть обращения непонятна","сдерают
быстрее машина то прям сипат меня"
Иное,0.7,Просьба сбить сосульки и снег с крыши,Даёт снег надо скриншот сбить сосульки
Иное,0.85,Жалоба на неправильное начисление платежей,неправильно начисление
ГВС,0.85,Передача показаний счётчика горячей воды,мне нужно передать показания по счетчику на горячую воду
Уборка уличная,0.95,Жалоба на неубранный мусор у контейнеров,не убирается мусор у контейнеров
Водоснабжение,0.6,"протечка коммуникаций, вероятно трубопровод водоснабжения",протекает коммунизация
Водоотведение,0.9,Затопление квартиры из-за канализации,затапливает квартиру// канализация
Уборка уличная,0.95,"Жалоба на неубранный двор, проезд затруднён",не чищен двор невозможно проехать на машине
НЕЯСНО,0.15,Не указано что именно отключили,у нас отключили вот мне бы хотелось знать когда ее дадут
Иное,0.85,Запрос справки о составе семьи,так мне нужна справка о составе семьи для газовой службы
Отопление,0.97,Нет тепла по стояку во втором подъезде,не поступает тепло по стояку который второй подъезд стоят который выходит во двор
Отопление,0.92,"Холодно в комнате, батареи не греют",у меня стоят холодный в маленькой комнате я звонила еще двадцать четвертого числа до сих пор никто не приехал вот почему то вчера в двенадцатую квартиру так приехали
НЕЯСНО,0.95,"Не указана суть проблемы, только просьба приехать","безобразие вообще
я хочу чтобы вы приехали потому что я сегодня уеду вечером я хочу чтобы сегодня мне приехали и сделали"
Отопление,0.97,Жалоба на отсутствие тепла в комнате,в большой комнате нету тепла
Электроснабжение,0.97,Не работает светильник в подъезде на первом этаже,у нас в подъезде в четвертом на первом этаже как только заходишь подъезд с левой стороны есть светильник он у нас сейчас не работает не горит и поэтому в подъезд заходишь очень темно пока не поднимешься до первого этажа светильник на первом этаже не включается
Водоснабжение,0.72,"Протечка на кухне, слесари не устранили",Не устранили протечка в на кухне я уже приглашала слесарей и всё равно ничего не происходит ничего не это не исправлено Пусть приходят и делают
НЕЯСНО,0.95,Просьба перезвонить без указания сути проблемы,пусть перезвонит оператор пожалуйста хватит уже
Ремонт,0.82,"Сломан сифон под раковиной, просит починить","у меня сломался сифона в раковине под раковиной на кухне мне надо отремонтировать его срочно
я инвалид второй группы хожу очень плохо желательно срочно сделать это то устранить это это аварию эту"
Уборка уличная,0.72,Снег с соседнего дома попадает на территорию,у меня ничего соседний дом снег во валют на нашу территорию тридцать а дом тридцать а валит снег на нашу территорию
Электроснабжение,0.7,"Упомянут выключатель, вероятно неисправен","мне нужно посмотреть выключатель
больше ничего"
НЕЯСНО,0.95,Житель не сообщил суть обращения,да ничего не случилось
Крыша,0.8,Течёт потолок — признак протечки кровли,у нас у меня потек потолок
Засор водоотведения,0.85,Прочистка стояка на кухне — засор водоотведения,надо прочистить стоять на кухне
НЕЯСНО,0.95,"Текст обрывочный, суть обращения не ясна","нормально
с четверга в квартире"
Электроснабжение,0.9,Сломан выключатель света в подъезде,"у нас в первом подъезде
да вандалы сломали кнопку включения выключения света в подъезде"
НЕЯСНО,0.95,Не указано что именно будет отключено,просто мне сказали что у нас отключат
Уборка уличная,0.95,Просьба убрать снег во дворе,во дворе почистить снег машины не выезжают
Электроснабжение,0.95,Отсутствие напряжения в доме от столба,Нету напряжения в дом со столба
НЕЯСНО,0.95,Текст не содержит сути обращения по ЖКХ,нет это премия которая
Водоотведение,0.7,Житель сообщает о затоплении соседки снизу,у нас я затапливаю соседку
Электроснабжение,0.72,"не работает розетка, телевизор не включается","ну че то вдруг меня стали азерота вот нет
это вернее не могу не работает ни телевизор ни это не могу это включаю в розетку а он мне не работает
Колесико Веры Города Пожалуйста Пошлите То Мне Я Не Могу Без Розеты"
Отопление,0.97,Житель сообщает об отсутствии тепла,"у нас нет тепла как всегда
Адрес Не Телефон Неправильно Вы Записали <PHONE>"
Отопление,0.97,Житель сообщает об отсутствии тепла в доме,до сих пор тепла нет в доме
Иное,0.85,Житель хочет передать показания счётчика,мне нужно передать показания счетчика
НЕЯСНО,0.3,"Неясно что сломалось, контекст недостаточен","сломался
сломался автоматически включать или на электроплиту"
НЕЯСНО,0.95,"Просьба соединить с диспетчером, суть обращения не указана",Соедините меня с диспетчером
Водоснабжение,0.85,Нет воды с вчерашнего вечера,ваде нету со вчерашнего вечера нету
ХВС,0.82,"Не работает колонка, предположительно замёрзла труба ХВС",у нас случилось на нашем районе не работает колонка пять дней уже замерзшая а вот это надо
НЕЯСНО,0.2,Не указана причина вызова техника,мне нужно сделать заявку на техника
НЕЯСНО,0.95,"Житель хочет поговорить с юристом, не ЖКХ",я хочу с юристом переговорить
Вентиляция,0.55,"Шум от моторов, невозможно дышать, вентиляция",проводы отключите пожалуйста под квартиры включено все гром стоит пусть выключат на улицу прямо через подъезды невозможно дышать нечем эти моторы включенные моторы
Уборка уличная,0.92,"Мусор с чердака выгружен во двор, просит вывезти",у нас очистили чердак весь мусор с чердака спустили во двор две огромные кучи и вот теперь дождем поливает ждем когда снегом завалит хотела бы чтобы вы вывезли этот весь мусор
НЕЯСНО,0.15,"Текст бессвязный, суть обращения непонятна",Нет подъезд комнате вчерашнего дня
Уборка внутренняя,0.97,Жалоба на отсутствие уборки в подъезде,у нас не моется подъезд уже полтора месяца
Уборка внутренняя,0.97,Просьба об уборке и мытье подъездов,нужна уборщица для мытья подъездов.
НЕЯСНО,0.95,Просьба отменить заявку без указания её сути,"отмените мою заявку
женщина упертая я буду звонить пока вы мою заявку не отмените"
НЕЯСНО,0.4,Насос упомянут без указания системы/локации,"хочу чтоб посмотрели насос
хотелось бы в кратчайшие сроки чтобы устранили эту неполадку"
Электроснабжение,0.85,Нет света на этаже в подъезде,где то света на этаже
Водоснабжение,0.7,"Затопление кухни, источник воды не уточнён","затопило кухню
сейчас"
Крыша,0.72,течёт сверху стены сырые на верхних этажах,у нас в подъезде не в подъезде на коридоре возле щитка сыра вся стена сырая это на втором этаже на третий тоже там что тут на четвертом это на третьем этаже а на четвертом там и оттуда откуда то течет но у людей у всех сухо
Отопление,0.9,Запрос на настройку температуры теплоснабжения,настроить температуру теплоснабжения
Водоотведение,0.72,пар из подвала — возможная коммунальная авария,идет парк с подвала возле первого подъезда
Иное,0.85,"Вопрос о стоимости квартплаты, не техническая заявка",здравствуйте мне нужно поговорить узнать о стоимости квартплаты
НЕЯСНО,0.4,Неясно о чём уведомление и осмотр,"так хочу вот мне пришло давно уведомление до пятнадцатого сентября нужно было уплатить за доступ
да нужно я хочу узнать у меня ведь пройден этот осмотр технический или нет но приходили ко мне двое мужчины"
НЕЯСНО,0.95,"Житель уточняет запись номера, нет сути обращения",что хорошо я спрашиваю вы записали номер телефона
Отопление,0.97,Жилец спрашивает о подключении парового отопления,я просто звоню по поводу когда подключать будут паровое в нашем в наш дом в наш подъезд потому что я пришла с дачи вот и мне надо чтобы это самое уже подключили
Уборка уличная,0.97,Просьба расчистить снег возле подъезда,надо расчистить снег возле подъезда скажи
НЕЯСНО,0.95,"Житель просит соединить, суть заявки не озвучена",соедини с диспетчером заявка не озвучена
ГВС,0.85,Полотенцесушитель не греет — проблема горячей воды,в данной комнате не греют полотенце сушитель
НЕЯСНО,0.2,"Текст неразборчив, суть обращения непонятна",а чем целый одиннадцать жду жду ничего
Крыша,0.72,Течёт балкон — протечка сверху/кровля,Течёт балкон надо это всё зафиксировать
Крыша,0.97,"Течёт потолок на последнем этаже, крыша",у нас течёт потолок с крышей пятый этаж
Отопление,0.85,батареи не греют в комнатах квартиры,"девушка у нас бодрее не греет одна в кварианкой комнате одна где то вторая не греет
больше ничего пускай приходит делают"
Иное,0.82,"Открытый люк на улице, угроза безопасности","я ходила по улице и в нашем районе нашла открытый люк 
 
между терминалом находится и между двадцать седьмым домом он находится там где ставят машины другой дом там положено или квадратный коричневый поролоновый этот самый"
Уборка уличная,0.95,"Житель просит почистить двор, уборка территории","нужно почистить двор
я заказывал чистку еще вчера на сегодня"
Отопление,0.72,"Выпускали воздух из батареи, перекрыто",вот в большой комнатной та первого этажа приходили товарищи я воздух вроде выпускала и не получал там где то перекрыто это завтра это аварии да подожди мол
НЕЯСНО,0.95,"Суть обращения не раскрыта, объект не указан","не работает
а вы че уже записали ладно"
Крыша,0.97,Протечка с крыши на пятом этаже,пятый этаж бежит с крыши потолок протекает по стенам и посередине комнаты
НЕЯСНО,0.95,"Просьба соединить с диспетчером, суть обращения не указана","на диспетчера переключите
с диспетчером соедините"
Уборка уличная,0.9,Вопрос об уборке/чистке дворовой территории,кто отвечает за чистку дворов
Отопление,0.82,"Нет тепла, продувает, проблемы с отоплением",У меня нет тепла в доме уже дали тепло всегда надо ремонт что-то там продувает где-то что-то пропускать
Иное,0.82,Провалился/открыт канализационный люк на территории,провалился канализационный люк внутрь открыт люк полностью
Отопление,0.82,"Батареи в квартире холодные, нет тепла",тайки в квартире очень холодные то есть они два теплые
Крыша,0.85,"Уборка снега с крыши, последний этаж",хочу составить заявку по уборке снега с крыши вот последний этаж нас беспокоит этот вопрос
Уборка уличная,0.97,Жалоба на неубранный двор между домами,не чищен двор между домами <ADDR> <ADDR>
Крыша,0.7,Житель просит покрыть крышу сарая,да хочу я живу по улице <ADDR> я смотрю тут соседям крышу покрывают может быть у них останется у бюро ди заодно мне уголь на сарайку покроют потому что нам сказали что долго там еще тут жить и надо это заказ
Электроснабжение,0.97,Перегорела лампа в подъезде на первом этаже,у нас свет нам бы нам свет у нас это в подъезде на первом этаже перегорела лампу темно очень
Ремонт,0.82,"Замена розеток — платная услуга, ремонтные работы",розетки надо две поменять я уже деньги оплатила в платных услугах
НЕЯСНО,0.95,"Нет сути обращения, только просьба перезвонить","принять заявку
чтобы срочно оператор перезвонил"
ГВС,0.95,Перекрытие входного вентиля на горячую воду,перекрыть вх.вентиль на горячую воду ждет в первой половине дня 15.07.25
Отопление,0.97,"Нет тепла, холодный стояк в квартире",у нас нет до сих пор тепла в соседних квартирах появилось у нас нету весь стояк холодный
ХВС,0.92,нет напора холодной воды после замены стояка,нет напора хол.воды ??..у нас меняли стояк с седьмого числа но давление у меня не поднялось у нас по секции полностью в пяти квартирах меняют стоят вот и я на пятом этаже живу так вот мне надо чтобы ну там мастер сказал что вроде бы
Отопление,0.85,Житель сообщает об отсутствии тепла в доме,"нет тепла но похоже дом шесть на военно осадном положении
а вот я не знаю мы наверное с вами уже скоро будем братьями и сестрами извините каждый день даю вам заявки"
ГВС,0.85,Передача показаний счётчика горячей воды,мне надо передать показания по горячей воде
НЕЯСНО,0.95,Просьба перезвонить без указания сути обращения,пускай перезвонят звонили
Отопление,0.95,Течь батареи — проблема с отоплением,"кв. <ADDR> течь батареи пластина 
конечно как можно быстрее чтобы приехали"
Отопление,0.82,Замер температуры в комнате — тепловой режим,измерить температуру в угловой комнате
Отопление,0.85,"Нет тепла в доме, ремонт на трассе",а ничего не случилось просто ремонтные работы на трассе завершились или нет ремонте тепла нету в доме ремонт на трассе делает идет когда он закончится
Иное,0.95,Запрос реквизитов управляющей компании,хочу узнать реквизиты управляющей компании
Отопление,0.95,Житель спрашивает о тепле в комнате,когда будет тепло в большой комнате
Отопление,0.85,Житель сообщает об отсутствии отопления,"Отопление такси нету Ищу
<PERSON> <ADDR>"
Отопление,0.99,Житель сообщает об отсутствии тепла в квартире,В квартире нет тепла
ГВС,0.82,"колонка — устройство нагрева воды, разморозка",разморозить колонку на малоэтажке
НЕЯСНО,0.85,"Житель просит отменить заявку, нет технической проблемы",ничего не случилось надо отменить заказ двенадцать шестьсот то есть шестнадцать двести
Крыша,0.72,Пятно на стене и осыпающаяся штукатурка — возможное протекание сверху,а знаете у нас вот я живу на четвертом этаже на пятом со стороны коридора со стороны лестницы на стене такое вот даже дожди не было а пятно такое и сыпется штукатурка даже или наверху там или что не понятно она легко там мы не знаем там какие то въехать все или не ехали там квартира пустовала
Отопление,0.98,"Нет тепла в доме, батареи холодные","у нас нет тепла сказали что наш дом подключили еще четвертого числа сегодня уже седьмое тепла нет
первом подъезде нет у нас тепла говорю"
Электроснабжение,0.92,"Проблема с электрикой, выбило предохранитель на розетке",выбило предохранитель на розетке
Отопление,0.95,Житель сообщает об отсутствии тепла,у нас нет тепла до сих пор в думе
НЕЯСНО,0.95,"Фраза обрывается, суть обращения не указана",у нас на площадке на на втором этаже
НЕЯСНО,0.95,"Житель хочет связаться с диспетчером, суть заявки не указана",у меня заявка уже есть сорок два триста девятнадцать я хочу диспетчера услышать
Водоснабжение,0.55,"Упоминание затопления в квартире, вероятно протечка",отсутствуют затопление в квартире
Иное,0.85,Вопрос о порядке сообщения о смерти жильца,я хочу узнать куда мне обратиться чтобы сообщить о смерти проживающего
НЕЯСНО,0.99,Обращение не содержит конкретной сути проблемы,не знаем вот хотели бы уточнить
Засор водоотведения,0.7,Житель сообщает о засоре,засор вас засор стойко ван
НЕЯСНО,0.9,Просьба отменить заявку без указания сути,"отменить заявку
отменить заявку"
НЕЯСНО,0.4,Слово 'крет' не позволяет определить суть обращения,а у нас только в одной комнате крет
Вентиляция,0.55,"пар из подвала в подъезде, сырость",у меня ничего не случилось в подъезде это самое парит все сыра из подвала идет пар
Водоснабжение,0.85,Протечка после замены водосчётчика к соседям,некачественно оказанной услуги поменян водосчетчик после после которого обнаружилась протечка протечка к соседям в нижнюю квартиру то есть нужен кроме устранения
Отопление,0.9,Холодные стояки — проблема с отоплением,"холодной стояк на кухне и в гостиной комнате 
 
холодные стояки на кухне в гостиной комнате"
Иное,0.92,"Наклонившийся уличный фонарный столб, угроза падения",у нас уличные железный фонарь около третьего подъезда очень сильно наклонившись и скорее всего он упадёт надо посмотреть что то ним делать
Отопление,0.97,Житель сообщает об отсутствии тепла в доме,я звоню от жильцов дома о том что у нас нету тепла сегодня двадцать девятое число уже ой двадцать восьмое то есть
Водоотведение,0.85,Протечка из бачка унитаза в туалете,протекает  с бочка туалета
Электроснабжение,0.45,Упоминание подключённого аппарата и гудения,Аппарат подключён Прямо в квартиру у <NAME> с новым и надо снять потому что уже 5 месяцев гудят я не дочь
Отопление,0.97,Частично отсутствует тепло в квартире,частично отсутствует тепло в квартире
Электроснабжение,0.97,Отсутствует свет во всём доме,отсутствует света во всем доме
НЕЯСНО,0.95,"Суть обращения не указана, только контекст","дичь 
 пожилая женщина ей бы желательно сегодня"
НЕЯСНО,0.85,Жалоба на невыполнение работ без указания сути,"у меня не выполнили работы я две недели жду наверное я опять буду звонить начальству
я уже добавила я наверное выйду опять на начальство там мастера уже сняли начальника участка мастера передвинули"
Засор водоотведения,0.7,упоминание забитого стояка водоотведения,"я вчера заказывал
там стояк задетый забитый вес"
Отопление,0.99,"Нет тепла по стояку, дом подключён",по всему стояку у нас тепла нету дом уже к теплу подключен а тепла нету мы замерзаем совсем тут
Домофоны,0.72,Электронный замок в подъезде — домофонная система,"надо починить электронный замок
в семнадцатом подъезде нет ниче не хочу дай мне оператора
Зачем Вам Фамилия Оператора Я Поговорю С Оператором"
Электроснабжение,0.95,"Взрыв в электрощитке, аварийная ситуация",Взрыв в щитке Вы долго будете писать или уже пожарную надо звать
Отопление,0.99,Житель жалуется на отсутствие тепла в квартире,"нет тепла в квартире
хочу хочу чтобы было тепло"
НЕЯСНО,1.0,"Житель просит соединить с диспетчером, суть обращения не указана","соедините с диспетчером
соедините с диспетчером"
НЕЯСНО,0.4,Упоминание машины без контекста ЖКХ услуги,"нужна ас машина
уточнить почему машина до сих пор не приехала"
Ремонт,0.6,Упоминание несущей стены между подъездами,стена которые несущие между подъездами
Отопление,0.97,Нет подключения к отопительной системе,нет подключения к отопительной системе
Вентиляция,0.6,Неприятный запах в подъезде и квартире,Запах неприятный в подъезде и в квартире
НЕЯСНО,0.95,"Житель просит соединить с оператором, суть обращения не указана","пусть перезвонит оператор
перевести на оператора"
Крыша,0.97,Вода льёт с крыши на пятый этаж,"значит с крыши фонтаном вода льет на пятый этаж
Адреса Достаточно <ADDR>"
НЕЯСНО,0.95,"Текст бессвязный, суть обращения непонятна",ска скатывают это э а озон
Водоснабжение,0.7,"Затопление квартиры, источник воды не уточнён",Ночью был вызов что затопляет квартиру
НЕЯСНО,0.95,"Житель ругается, суть обращения не указана","записывайте по записывайте повнимательней заявку от какого дома вам дается заявка записались значит опять шесть или я не знаю что дом шесть а еще раз говорю до свидания
Нет Имя И Фамилию Называть Не Буду Я Не На Приеме У Следователя"
Водоотведение,0.72,упоминание канализационного люка под окном,ну знаете у меня под окошком канонизационный люк
Отопление,0.97,Нет тепла по стояку в квартирах,по стояку в наших квартирах нет тепла
Крыша,0.97,Течь крыши во время дождей,Когда шли дожди у нас текла крыша
Отопление,0.99,Житель сообщает об отсутствии тепла,нет тепла в комнатах
НЕЯСНО,0.95,"Житель упоминает заявку, суть проблемы не указана",я вам вчера оставляла заявку
Отопление,0.99,Житель сообщает об отсутствии тепла в квартире,Нет в квартире нет тепла
Водоотведение,0.82,"Затоплен подвал, возможна авария водоотведения",в доме это в подвал весь полностью затоплен <ADDR>
НЕЯСНО,0.95,"Только номер квартиры, суть обращения отсутствует",а квартира <ADDR>
Отопление,0.97,Нет тепла по стояку в доме,нет тепла в доме тепло есть по нашему стояку нет тепла
Отопление,0.85,Житель жалуется на отсутствие тепла,В одной из комнат большой меч оплате вообще безобразие вообще нет тепла
Отопление,0.97,Житель сообщает об отсутствии тепла в доме,нет тепла по всему дому
Водоотведение,0.72,"Залив соседей — утечка воды, водоотведение",у нас мы мы залили соседей
Уборка уличная,0.92,Просьба почистить двор на улице,надо почистить двор поповича от комсомольской до нашего дома прочистили
Уборка уличная,0.55,Упоминание двора и снега — уборка территории,во дворе оплатить здесь снег
Крыша,0.97,Течёт кровля в подъезде — протечка крыши,записывайте срочно течет кровля в 4 подъезде
ГВС,0.72,"Колонка — водонагреватель, замёрзла горячая вода",у нас замерзла колонка
НЕЯСНО,0.95,"Житель просит оператора, суть обращения неясна",оператору пожалуйста дай трубочку
НЕЯСНО,0.4,"Неясно что именно течёт, контекст недостаточен",ну у меня течет еще с осени я два раза
НЕЯСНО,0.95,"Житель ожидает оператора, суть обращения не указана","хочу диспетчера поговорить
жду оператора"
Электроснабжение,0.82,Запрос ключа доступа к электросчётчику,нужен ключ для доступа к электросчетчикусо созвонились дан тел <NAME>
НЕЯСНО,0.95,"Житель просит конкретного человека, нет сути обращения","телефончику
мне нужна <NAME> ее голос живой"
ГВС,0.85,Течь полотенцесушителя — элемент системы ГВС,Течь полотенцесушителя в помещении библиотеки
НЕЯСНО,0.2,"Текст неразборчив, суть обращения непонятна",возможно дышать зашипела все вообще квартира шипит опять это скачивает этот скачивание опять этого мобильного приложения озон сто восемь они опять подключили подпалы под этот подоконник
НЕЯСНО,0.9,Просьба отменить заявку без указания сути,"отменить заявку
отменить заявку"
Электроснабжение,0.85,Замена электросчётчика и автоматического выключателя,замена электросчетчика пакет пакетник
Уборка уличная,0.85,Просьба об уборке придомовой территории,нужна чистка при домовой территории    Заявка передана
Отопление,0.95,Житель жалуется на отсутствие тепла,у вас случилось вы нихрена не делаете у меня тепла до сих пор нету
Ремонт,0.85,"Ремонт после затопления, оценка стоимости работ","Требуется сделать ремонт за счет  виновника затопления (кв. <ADDR>)
24.03.2026 собственником кв. <ADDR> был пробит стояк ливневой канализации и произошло подтопление 16 этажа."
Уборка уличная,0.85,Просьба скалывать лёд около подъезда,"у четвертого подъезда у подвала налить нужно сколоть и сколоть лед около подъездов /2 под/ -заявка от кв,<ADDR>"
Уборка уличная,0.82,"Погрузчик чистит двор, завалена ливнёвка снегом",сейчас погрузчик чистит наш двор с декабря месяца он заваливал левневку
НЕЯСНО,0.95,Текст не содержит конкретной проблемы или сути обращения,и что я так и буду два дня это самое
Крыша,0.85,"Работы на крыше, установка оголовка",установить на крыше.прикрутить оголовок.валяется на крыше.
Крыша,0.97,"Течёт крыша, вода попадает в комнату",крыша течет по окну прямо все в комнату
Иное,0.95,Житель хочет отменить существующую заявку,мне нужно отменить заявку номер сорок пять шестьсот шестьдесят три
Электроснабжение,0.95,"Пропало напряжение в сети, низкое напряжение",пропало напряжение в сети сто двадцать вольт всего сто двадцать
Отопление,0.95,Житель сообщает об отсутствии тепла в квартире,так случилось нам тепло надо дать во всех домах есть тепло у нас у меня в тридцать третий и в нашей нет тепла
НЕЯСНО,0.4,Непонятно откуда исходит громкий звук,очень большой звук стоит на полдома
Отопление,0.97,"Подали тепло на час, снова отключили","тепло дали на один час и опять вырубили
да я уже устала звонить сколько можно"
НЕЯСНО,0.2,Слишком мало информации для определения категории,внизу на северной стороне открыт
Отопление,0.85,Житель спрашивает когда дадут тепло,"хочется узнать когда нам дадут тепло дело в том что у нас тут дом то ремонтируют
тепло будет вся заявка"
НЕЯСНО,0.85,Житель не описал конкретную проблему или суть обращения,у меня ничего не случилось в подъезде
НЕЯСНО,0.95,"Житель просит соединить с диспетчером, суть обращения не указана","с диспетчером соедините пожалуйста
хочу диспетчера услышать"
НЕЯСНО,0.95,"Житель упоминает заявку, суть проблемы не указана","да
так заявка уже есть девушка"
Водоотведение,0.95,Запах канализации из ванны,ванна воняет невозможно канализационными стоками
